Central-Natural gas,7.7
Central-Coal,2.5
Central-Fueloil,9.2
Central-Gas oil,13.4
Central-Straw,6.3
Central-Wood chips,7.0
Central-Wood pellets,10.1
Central-Energy crops,0.0
Central-Uranium,2.1
Central-Local biomass,2.8
Central-wind,0.0
Central-solar,0.0
Decentral-Natural gas,8.5
Decentral-Gas oil,15.0
Decentral-Straw,6.3
Decentral-Wood chips,7.3
Decentral-Wood pellets,9.7
Decentral-Energy crops,7.0
